"X","GeneSymbol","padj","log2FoldChange","diffexpressed","gene.label"
98,"Bub1",0.34918504762371,0.678071905112637,NA,NA
99,"Bub1b",0.86149941706918,0.0537712564409807,NA,NA
100,"Cab39",0.0497113195773512,0.297038893434927,NA,NA
101,"Cacna1a",0.518739599566663,-0.0740005814437767,NA,NA
102,"Cacna1e",0.435707720400681,-0.242856523896164,NA,NA
103,"Cacnb4",0.18645322872779,-0.755763189620332,NA,NA
104,"Cacng2",0.613940985482945,0.156725503687453,NA,NA
105,"Cacng3",0.501471249223257,0.0978473233981446,NA,NA
106,"Cacng7",0.111026611051551,-0.253916509669977,NA,NA
107,"Cad",0.00220373849815572,0.810729648838261,"UP","Cad"
108,"Car12",0.733642243127573,-0.139403056665416,NA,NA
109,"Car9",0.511775991764198,-0.202308175293115,NA,NA
110,"Card11",1,0,NA,NA
111,"Cat",0.166171295641492,0.317970081318679,NA,NA
112,"Cbl",0.823991979201975,0.0421573130545511,NA,NA
113,"Cbr4",0.138698294306894,-0.181895258963345,NA,NA
114,"Ccl19",0.663821097929687,0.31836147986717,NA,NA
115,"Ccl2",0.541809630749863,0.320572815275351,NA,NA
116,"Ccl4",0.603007865947984,0.11681366498275,NA,NA
117,"Ccl5",1,0,NA,NA
118,"Ccna1",0.558568256309219,-0.163498732282879,NA,NA
119,"Ccna2",0.227785601264792,1.03769229007195,NA,NA
120,"Ccnb2",0.15391512293797,0.649312912131214,NA,NA
121,"Ccnd1",0.385628296244375,0.448070343949903,NA,NA
122,"Cd14",0.0330235920712654,-0.389821213670007,NA,NA
123,"Cd163",0.432587202971536,-0.160796211903056,NA,NA
124,"Cd180",0.553083151029147,0.2784644464034,NA,NA
125,"Cd19",0.531655673430811,-0.355094958822562,NA,NA
126,"Cd209e",0.960072556292423,0.016119665363277,NA,NA
127,"Cd244a",0.317404974386739,-0.265894059973034,NA,NA
128,"Cd247",0.190887277132705,-0.22917095396751,NA,NA
129,"Cd27",0.254982487138183,-0.377069649079823,NA,NA
130,"Cd274",0.425902763988738,-1.61625863121069,NA,NA
131,"Cd276",0.263555499004088,0.327770663061194,NA,NA
132,"Cd28",0.198092098638491,-0.37272669442088,NA,NA
133,"Cd36",0.0491339571174121,-0.386253757469531,NA,NA
134,"Cd3d",0.8853290298911,-0.0473057147783566,NA,NA
135,"Cd3e",0.171460487772253,-0.373458395527444,NA,NA
136,"Cd3g",0.604305857660105,-0.247927513443586,NA,NA
137,"Cd4",0.155937925320362,-0.556393348524385,NA,NA
138,"Cd40lg",0.587097711136104,-0.187627003175771,NA,NA
139,"Cd6",0.927651170857214,0.023458972823989,NA,NA
140,"Cd63",0.154702859409216,0.354423614456109,NA,NA
141,"Cd68",0.756009132174436,0.0816452651014943,NA,NA
142,"Cd84",0.856080981285086,-0.0586939942590233,NA,NA
143,"Cd8a",0.679833278183963,-0.106915203916512,NA,NA
144,"Cd8b1",1,0,NA,NA
145,"Cda",0.830199831936573,0.0565835283663675,NA,NA
146,"Cdc20",0.847302393954525,-0.0732489820306385,NA,NA
147,"Cdca5",0.568905516123429,0.169925001442312,NA,NA
148,"Cdca8",0.399625604872682,0.289506617194985,NA,NA
149,"Cdk9",0.558120553186261,-0.0708337582612592,NA,NA
150,"Ceacam3",0.514566624234727,-0.125530882083859,NA,NA
151,"Cenpa",0.0572686102226447,-0.661853394554509,NA,NA
152,"Chmp2a",0.142557318780865,0.228852260670537,NA,NA
153,"Chmp6",0.753328991036191,0.0323133197931155,NA,NA
154,"Clock",0.0406450216550158,0.187363020634986,NA,NA
155,"Clspn",0.708068235909971,0.132103536007345,NA,NA
156,"Cmklr1",1,0,NA,NA
157,"Col4a1",0.957238473250293,0.0159539879218352,NA,NA
158,"Col4a2",0.862245050902666,-0.0531336780191706,NA,NA
159,"Col6a1",0.916086213018765,-0.0163670862483,NA,NA
160,"Col6a2",0.737337698115665,0.0765343425337323,NA,NA
161,"Col6a3",0.22961951905072,0.286607559154371,NA,NA
162,"Cops6",0.101634854242791,0.0754594633852535,NA,NA
163,"Cox10",0.011751815664946,0.356165727521129,NA,NA
164,"Cox14",0.734702049301907,-0.0489270011122406,NA,NA
165,"Cox4i1",0.836064946996161,0.0197354418180132,NA,NA
166,"Cox5a",0.447173601554562,-0.0496587323520774,NA,NA
167,"Cox5b",0.337411066074595,-0.0954261545927956,NA,NA
168,"Cox6a1",0.0303918359967917,0.548694566632488,NA,NA
169,"Cox6b1",0.0975625690165075,-0.157150102668453,NA,NA
170,"Cox7b",0.0396257787808477,-0.533194438928962,NA,NA
171,"Cox7c",0.0242084051843229,-0.46711639820742,NA,NA
172,"Cox8a",0.0025274940969046,0.811008858263819,"UP","Cox8a"
173,"Cpa3",0.268177812654058,-0.610864364163913,NA,NA
174,"Cps1",0.192919765300749,0.639824435755674,NA,NA
175,"Cpt1a",0.104996975716389,-0.483679164883974,NA,NA
176,"Creb3l3",0.416396204204396,-0.182203331220749,NA,NA
